Topall,rank
tdcE,1263
tdcF,1264
tdh,1265
tehB,1266
thiB,1267
thiC,1268
thiD,1269
thiE,1270
thiH,1271
thiI,1272
thiP,1273
thrA,1274
thyA,1275
tktA,1276
tldD,1277
tmcA,1278
tmk,1279
tolA,1280
tolB,1281
tolC,1282
tolQ,1283
tolR,1284
tomB,1285
tonB,1286
torA,1287
torC,1288
torD,1289
torR,1290
torS,1291
torY,1292
tpx,1293
traB,1294
traD,1295
traF,1296
traH,1297
traK,1298
traM,1299
traU,1300
traV,1301
traW,1302
trbB,1303
trbI,1304
treA,1305
treC,1306
trg,1307
trkG,1308
trkH,1309
trmB,1310
trmH,1311
trmO,1312
trpA,1313
trpR,1314
trxC,1315
tsaB,1316
tsr,1317
ttdR,1318
tus,1319
tusB,1320
tusC,1321
tusD,1322
tusE,1323
typA,1324
tyrA,1325
tyrP,1326
tyrR,1327
tyrS,1328
ubiC,1329
ubiD,1330
ubiE,1331
ubiF,1332
ubiH,1333
ubiX,1334
ucpA,1335
udk,1336
udp,1337
ugpC,1338
uhpA,1339
uhpB,1340
uidA,1341
uidC,1342
uidR,1343
ulaA,1344
umuC,1345
ung,1346
upp,1347
uppP,1348
usg,1349
ushA,1350
uspA,1351
uspD,1352
uspE,1353
uup,1354
uvrA,1355
uvrY,1356
uxaA,1357
uxuA,1358
uxuB,1359
valS,1360
viaA,1361
vsr,1362
waaU,1363
wbbJ,1364
wcaB,1365
wcaC,1366
wcaD,1367
wcaE,1368
wcaI,1369
wcaJ,1370
wcaL,1371
wecA,1372
wecG,1373
wecH,1374
wza,1375
wzc,1376
wzxC,1377
xdhD,1378
xseA,1379
xseB,1380
xylA,1381
yaaA,1382
yaaW,1383
yadC,1384
yadE,1385
yadV,1386
yafD,1387
yafQ,1388
yafV,1389
yafZ,1390
yagG,1391
yagJ,1392
yahB,1393
yahF,1394
yahJ,1395
yahK,1396
yaiA,1397
yaiL,1398
yaiP,1399
yaiS,1400
yaiW,1401
yaiX,1402
yajC,1403
yajO,1404
yajQ,1405
ybaB,1406
ybaK,1407
ybaL,1408
ybaT,1409
ybbC,1410
ybbP,1411
ybcK,1412
ybcV,1413
ybdF,1414
ybdL,1415
ybeR,1416
ybeY,1417
ybgQ,1418
ybhC,1419
ybhF,1420
ybhJ,1421
ybhK,1422
ybhM,1423
ybhP,1424
ybhR,1425
ybiA,1426
ybiO,1427
ybiS,1428
ybiT,1429
ybiU,1430
ybiY,1431
ybjD,1432
ybjO,1433
ybjQ,1434
ycaC,1435
ycaL,1436
ycaM,1437
ycbB,1438
ycbJ,1439
ycbV,1440
ycbZ,1441
yccA,1442
yccJ,1443
yccS,1444
yccU,1445
ycdY,1446
yceA,1447
yceF,1448
yceQ,1449
ycfH,1450
ycfL,1451
ycfP,1452
ycfS,1453
ycfZ,1454
ycgB,1455
ycgM,1456
ycgR,1457
ycgX,1458
ychA,1459
ychJ,1460
ychN,1461
yciA,1462
yciH,1463
yciI,1464
yciN,1465
yciT,1466
ycjN,1467
ycjQ,1468
ycjV,1469
ycjW,1470
ycjX,1471
ycjY,1472
ydaT,1473
ydaU,1474
ydaV,1475
ydaY,1476
ydbA,1477
ydbK,1478
ydcF,1479
ydcJ,1480
ydcK,1481
ydcL,1482
ydcZ,1483
yddB,1484
yddW,1485
ydeI,1486
ydeN,1487
ydeP,1488
ydeR,1489
ydfU,1490
ydfZ,1491
ydgA,1492
ydgD,1493
ydgH,1494
ydgI,1495
ydhJ,1496
ydhQ,1497
ydhR,1498
ydhU,1499
ydhX,1500
ydiB,1501
ydiH,1502
ydiM,1503
ydiP,1504
ydiU,1505
ydjA,1506
ydjF,1507
ydjI,1508
ydjX,1509
yeaG,1510
yeaH,1511
yeaK,1512
yebC,1513
yebE,1514
yebG,1515
yebT,1516
yebY,1517
yecA,1518
yecC,1519
yecE,1520
yedD,1521
yedE,1522
yedP,1523
yedR,1524
yeeJ,1525
yeeN,1526
yeeZ,1527
yegH,1528
yegJ,1529
yegL,1530
yegQ,1531
yegS,1532
yegT,1533
yegU,1534
yehB,1535
yehL,1536
yehQ,1537
yehX,1538
yehY,1539
yeiG,1540
yeiR,1541
yejE,1542
yejK,1543
yejL,1544
yejO,1545
yfbN,1546
yfbS,1547
yfcC,1548
yfcH,1549
yfcN,1550
yfdE,1551
yfdH,1552
yfdK,1553
yfdP,1554
yfeW,1555
yfeX,1556
yfeZ,1557
yffB,1558
yfgI,1559
yfgM,1560
yfhH,1561
yfiB,1562
yfjD,1563
yfjW,1564
ygaU,1565
ygbT,1566
ygcG,1567
ygcP,1568
ygcU,1569
ygdG,1570
ygdI,1571
ygeA,1572
ygeP,1573
ygeR,1574
ygeV,1575
ygfA,1576
ygfB,1577
ygfF,1578
ygfM,1579
ygfZ,1580
yggL,1581
yggR,1582
yggS,1583
yghA,1584
yghE,1585
yghF,1586
yghO,1587
yghQ,1588
yghU,1589
yghW,1590
ygiC,1591
ygiQ,1592
ygiW,1593
ygjI,1594
yhaJ,1595
yhbO,1596
yhbP,1597
yhbV,1598
yhbW,1599
yhcB,1600
yhcC,1601
yhcD,1602
yhcO,1603
yhdJ,1604
yhdP,1605
yhdY,1606
yheS,1607
yhfG,1608
yhgF,1609
yhhA,1610
yhhW,1611
yhiI,1612
yhiN,1613
yhjB,1614
yhjD,1615
yhjX,1616
yibA,1617
yicH,1618
yicI,1619
yicR,1620
yidA,1621
yidC,1622
yidK,1623
yidR,1624
yidX,1625
yidZ,1626
yieE,1627
yifE,1628
yigZ,1629
yihN,1630
yihQ,1631
yihR,1632
yihU,1633
yihX,1634
yiiD,1635
yjaH,1636
yjbH,1637
yjbJ,1638
yjbL,1639
yjbQ,1640
yjcF,1641
yjdI,1642
yjeH,1643
yjfI,1644
yjfK,1645
yjfN,1646
yjgH,1647
yjgL,1648
yjgR,1649
yjhC,1650
yjhH,1651
yjiC,1652
yjiE,1653
yjjV,1654
yjjX,1655
ykfJ,1656
ylbG,1657
ymdB,1658
ymfN,1659
ymfS,1660
ymgD,1661
ymgF,1662
ynaA,1663
ynbB,1664
ynbC,1665
ynbD,1666
yncH,1667
yncI,1668
ynfB,1669
ynfD,1670
ynfE,1671
ynfF,1672
ynfG,1673
ynhG,1674
ynjB,1675
ynjE,1676
yoaA,1677
yohD,1678
yohF,1679
ypdB,1680
ypdE,1681
ypdF,1682
yphE,1683
yphH,1684
ypjA,1685
yqaB,1686
yqcA,1687
yqcE,1688
yqeA,1689
yqeB,1690
yqeI,1691
yqgE,1692
yqiG,1693
yqjG,1694
yraN,1695
yraQ,1696
yraR,1697
yrbL,1698
yrfF,1699
ytfE,1700
ytfR,1701
ytfT,1702
ytjB,1703
zapB,1704
zapC,1705
zapE,1706
zntB,1707
zntR,1708
znuA,1709
zraR,1710
zraS,1711
zwf,1712
secB,1713
dnaK,1714
manX,1715
iscS,1716
nuoE,1717
pheS,1718
talA,1719
holC,1720
gatA,1721
hycE,1722
metN,1723
gloA,1724
tnaA,1725
xerD,1726
norV,1727
murF,1728
ydgJ,1729
hypB,1730
serS,1731
ygfT,1732
exbD,1733
yqeF,1734
recE,1735
proA,1736
gapA,1737
minD,1738
uacT,1739
yfcD,1740
yidH,1741
nagC,1742
yjiM,1743
cirA,1744
yaeR,1745
murA,1746
yjiA,1747
ypfJ,1748
fkpB,1749
glyA,1750
pheT,1751
glgP,1752
sspB,1753
ybdR,1754
dusC,1755
yffL,1756
cspB,1757
map,1758
recF,1759
sixA,1760
bamA,1761
nanM,1762
hscC,1763
yneG,1764
metE,1765
tsf,1766
luxS,1767
yacG,1768
ogt,1769
tsaC,1770
znuC,1771
gltD,1772
lipA,1773
yfcL,1774
hypF,1775
fecB,1776
napD,1777
fic,1778
ydfR,1779
lldD,1780
yciF,1781
wrbA,1782
ydiJ,1783
yjhP,1784
gltX,1785
ligA,1786
edd,1787
iclR,1788
lspA,1789
malQ,1790
rimP,1791
paaX,1792
cho,1793
rpoN,1794
dadX,1795
lolD,1796
ubiB,1797
murI,1798
