ccmB	0.64	0.125	0.222	0.19	0.239	0.211	0.62	0.412	0.404
ccmC	0.314	0.318	0.225	0.237	0.579	-0.126	0.286	0.579	0.463
ccmF	0.324	0.059	0.058	0.143	0.345	0.183	0.376	0.257	0.985
ccmH	0.135	-0.13	0.053	-0.118	-0.047	0.374	0.244	0.236	0.872
cdaR	-1.713	-1.882	-2.018	-1.551	-1.921	-1.348	-1.801	-1.408	-0.689
cdd	1.358	1.363	0.914	0.873	1.309	0.865	1.355	1.065	-0.056
cdh	-0.095	-0.068	-0.074	-0.082	-0.021	0.132	-0.014	0.111	-0.197
cdsA	-0.459	-0.422	-0.368	-0.122	-0.15	0.12	-0.316	-0.251	-0.186
cedA	-0.55	-0.78	-0.596	-0.482	-0.554	-0.47	-0.38	-0.117	-0.297
cfa	-0.569	-0.587	-0.626	-0.424	-0.449	-0.361	-0.407	-0.316	-0.599
chaA	-1.808	-1.767	-1.929	-1.815	-1.705	-0.877	-1.87	-1.782	-0.395
chaB	-0.674	-0.657	-0.525	-0.692	-0.577	-1.275	-0.703	-1.056	-0.193
chaC	-0.833	-0.855	-0.758	-0.843	-0.627	-0.744	-0.708	-0.746	-0.39
chbA	-0.561	-0.989	0.011	-0.569	-0.528	-0.545	-0.669	-0.468	-0.141
chbB	-0.256	0.003	-0.237	-0.415	-0.012	-0.295	-0.326	0.11	-1.072
chbC	-0.875	-0.799	-0.744	-0.209	-0.476	-0.312	-0.643	-0.661	-0.694
chbF	-1.126	-1.527	-1.13	-1.402	-1.64	-0.654	-1.006	-0.623	0.454
chbG	-0.694	-0.688	-0.639	-0.466	-0.581	-0.681	-0.555	-0.574	-0.31
chbR	-0.755	-0.937	-0.8	-1.01	-0.986	-0.652	-0.707	-0.726	-0.31
cheA	0.988	1.166	1.758	1.753	1.307	1.332	1.766	1.699	0.288
cheB	-0.353	0.041	0.307	0.392	0.117	0.163	0.557	0.561	0.466
cheR	-0.279	0.068	0.186	0.062	-0.102	0.174	0.258	0.098	1.305
cheW	0.865	1.25	1.538	1.256	1.103	1.111	1.339	1.006	0.068
cheY	0.541	0.634	0.899	0.846	0.522	0.655	0.932	0.732	-0.303
cheZ	0.115	0.291	0.597	0.447	0.039	0.715	0.584	0.262	-0.567
chiA	0.113	0.073	0.285	0.108	0.365	0.208	0.162	0.292	0.493
chiP	-1.712	-2.048	-1.27	-1.467	-1.327	-0.923	-1.486	-1.32	0.654
chiQ	-0.667	-1.166	-1.412	-0.839	-0.938	-0.405	-0.719	-1.142	0.336
cho	-2.095	-2.053	-1.835	-1.756	-1.947	-1.289	-1.958	-1.735	-0.518
chpB	-0.254	-0.342	-0.3	-0.183	-0.258	-0.206	-0.201	-0.386	-0.104
chpS	-0.401	-0.558	-0.511	-0.196	-0.305	-0.037	-0.218	-0.295	0.156
chrR	-0.597	-0.689	-0.438	-0.449	-0.429	-0.36	-0.338	-0.451	-1.802
cirA	0.755	1.622	2.033	0.906	0.897	0.575	1.074	0.909	2.365
citA	-1.668	-1.689	-1.818	-1.641	-1.668	-1.56	-1.872	-1.656	0.186
citB	-0.66	-0.698	-0.664	-0.151	-0.295	-0.227	-0.403	-0.31	0.711
citC	-2.153	-2.089	-2.152	-1.805	-1.624	-1.842	-1.558	-1.677	-0.048
citD	-0.611	-0.377	-0.457	-0.444	-0.261	-0.283	-0.578	-0.362	-0.152
citF	-0.196	-0.111	0.088	-0.108	0.179	-0.091	-0.22	-0.105	-0.322
citG	-0.012	0.087	0.218	0.015	0.033	0.282	-0.091	-0.114	-0.326
citT	-1.031	-1.168	-1.167	-1.079	-1.23	-0.829	-0.999	-0.652	-0.191
citX	-0.362	-0.185	0.077	-0.333	-0.019	-0.421	-0.249	-0.27	-0.469
clcA	-0.305	-0.523	-0.191	-0.04	-0.161	-0.198	-0.192	0.048	-0.347
clcB	-0.869	-1.203	-0.844	-0.552	-0.881	-0.31	-0.644	-0.543	-0.177
clpA	0.093	0.093	0.227	0.306	0.233	0.086	0.436	0.437	-1.028
clpB	-0.073	0.088	0.143	0.082	-0.106	0.257	0.318	0.241	-1.57
clpP	0.152	0.216	0.124	0.162	0.305	0.099	0.29	0.228	-0.984
clpS	-0.22	-0.31	-0.154	-0.02	-0.215	-0.193	-0.144	-0.15	-0.399
clpX	0.155	-0.071	0.102	-0.105	0.17	-0.238	0.075	-0.047	-0.757
clsA	0.425	0.143	0.127	0.231	0.448	0.107	0.402	0.38	-0.68
clsB	-0.855	-0.82	-0.629	-0.455	-0.715	-0.364	-0.094	-0.579	0.099
