Topall,rank
YNL009W,896
YHR133C,897
YIL121W,898
YBR230C,899
YCL033C,900
YDL050C,901
YOR009W,902
YDR155C,903
YGR083C,904
YDR216W,905
YOR027W,906
YIL001W,907
YGL201C,908
YER103W,909
YOR054C,910
YHR023W,911
YFL005W,912
YPL274W,913
YDR121W,914
YMR083W,915
YDR342C,916
YDR310C,917
YDL145C,918
YBR108W,919
YJL124C,920
YPR023C,921
YMR307W,922
YDL007W,923
YFL013C,924
YDR280W,925
YHR001W-A,926
YNL138W,927
YMR227C,928
YGL013C,929
YAR014C,930
YMR181C,931
YLR414C,932
YFL017W-A,933
YLR378C,934
YBR249C,935
YOR326W,936
YEL037C,937
YJL097W,938
YDR321W,939
YBL052C,940
YDL122W,941
YDR129C,942
YPL061W,943
YJL026W,944
YDR032C,945
YER172C,946
YNL120C,947
YGL051W,948
YOR273C,949
YNR037C,950
YMR215W,951
YFL038C,952
YJR096W,953
YFL023W,954
YLR275W,955
YGL102C,956
YHR062C,957
YPL113C,958
YGR260W,959
YGL001C,960
YNL298W,961
YGR002C,962
YDR240C,963
YGR078C,964
YGL012W,965
YLR327C,966
YMR010W,967
YLR298C,968
YAR042W,969
YKL103C,970
YDL002C,971
YKL028W,972
YPR060C,973
YEL009C,974
YGR158C,975
YDR175C,976
YLR095C,977
YNL197C,978
YMR303C,979
YFL048C,980
YLL035W,981
YKR072C,982
YJL074C,983
YIL021W,984
YCR042C,985
YKL008C,986
YOR101W,987
YMR321C,988
YOR136W,989
YGL202W,990
YHR068W,991
YLR321C,992
YAL024C,993
YER029C,994
YOL051W,995
YOR308C,996
YJR047C,997
YML086C,998
YDL198C,999
YDR417C,1000
YKR095W,1001
YGL167C,1002
YEL021W,1003
YLR429W,1004
YGR013W,1005
YNL125C,1006
YDR100W,1007
YJL151C,1008
YGL200C,1009
YGL077C,1010
YGR019W,1011
YHR030C,1012
YPL001W,1013
YLR073C,1014
YMR081C,1015
YFR010W,1016
YNL039W,1017
YGL056C,1018
YOL061W,1019
YOL087C,1020
YER021W,1021
YGR087C,1022
YKL165C,1023
YDL098C,1024
YDR337W,1025
YFR052W,1026
YBR127C,1027
YFL045C,1028
YFR030W,1029
YMR188C,1030
YBR055C,1031
YPL076W,1032
YBR126C,1033
YNR023W,1034
YIL027C,1035
YIL057C,1036
YDR427W,1037
YMR250W,1038
YHR096C,1039
YHR041C,1040
YKL187C,1041
YLR178C,1042
YBR272C,1043
YNL336W,1044
YDR116C,1045
YML131W,1046
YDR264C,1047
YLR045C,1048
YHR042W,1049
YKL088W,1050
YKL173W,1051
YHR084W,1052
YBL038W,1053
YIL094C,1054
YKL091C,1055
YDR501W,1056
YDL052C,1057
YOR046C,1058
YKL170W,1059
YBR059C,1060
YIL136W,1061
YLL018C,1062
YCR047C,1063
YKR067W,1064
YPL203W,1065
YAL029C,1066
YER093C,1067
YJL127C,1068
YPL165C,1069
YGL043W,1070
YOR259C,1071
YKR010C,1072
YMR288W,1073
YDR335W,1074
YKR049C,1075
YNL136W,1076
YGL252C,1077
YBR241C,1078
YNL323W,1079
YOR110W,1080
YBL064C,1081
YNL048W,1082
YLR438C-A,1083
YML100W,1084
YBR152W,1085
YEL018W,1086
YCL009C,1087
YDR473C,1088
YPL151C,1089
YBR116C,1090
YGR074W,1091
YDL062W,1092
YML046W,1093
YPL246C,1094
YGR106C,1095
YDR070C,1096
YPL213W,1097
YER112W,1098
YMR240C,1099
